headline,label,confidence
Google I/O 2025: All the news and announcements,Non-Clickbait,0.9149996638298036
The Nintendo Switch 2 is here: all of the launch news,Non-Clickbait,0.6939073801040649
PlayStation State of Play June 2025: all the news and trailers,Non-Clickbait,0.8849246501922607
US senator dragged out of LA immigration news conference,Non-Clickbait,0.9088256359100342
How Private Equity Killed the American Dream,Non-Clickbait,0.7314377427101135
"Social media now main source of news in US, research suggests",Non-Clickbait,0.924233853816986
Nothing’s New Phone Kills a Defining Feature but May Add a Whole New One,Non-Clickbait,0.6471554636955261
The Weekly World News version of the future,Non-Clickbait,0.9094744920730592
There's Good News And Bad News For Fans Of Star Trek: Strange New Worlds,Non-Clickbait,0.7501143217086792
The Best WordPress Hosting is Practically Free With This Promo Code,Non-Clickbait,0.8117868900299072
